finding_id,title,category,severity,requirement,location,role,preconditions,steps_to_reproduce,expected_result,actual_result,status,evidence,impact,suggested_fix_direction
"QA-014","Seed publications bypass the verification queue and lack bibliographic metadata","Content / Data","Medium","REQ-011; REQ-104; REQ-111","DatabaseSeeder publications and claims","Power Admin","Fresh seeded database","1) Seed; 2) inspect Publications; 3) inspect queue; 4) compare rows","All research seed material is sourced and reviewed before Publication creation","Six title-only Publication rows are inserted directly; matching sourced claims can create more rows","Reproducible","DatabaseSeeder lines 52-71; sampled titles externally verified","Rows are not reviewable through queue and duplicate/incomplete data can result","Seed ResearchClaim only and create Publications in controlled publish transaction"
"QA-015","Required patient, account and role administration is absent","Functional / Authorization / Data","High","REQ-059 through REQ-064; REQ-124","Staff APIs and workspace","Admin / Power Admin","Authenticated administrator","1) Search patient; 2) try create/edit/deactivate; 3) try manage staff; 4) try role change","Authorized patient/account/role management with audit","Only patient search/read context exists; no CRUD/account/role routes or UI","Reproducible","104-route inventory; staff source","Core administration and audit trail cannot be performed","Add minimum-necessary policy-protected admin workflows with re-auth and before/after audit"
"QA-016","Native patient app is read-mostly and omits core required actions","Mobile / Functional","High","REQ-142 through REQ-145","mobile/app; routes/mobile.php; /api/v1","Patient","Authenticated native session","1) Open core screens; 2) try mutations/transfers; 3) seek reminders/devices; 4) inspect v1 routes","Core mobile patient journeys are actionable","Screens are read-only; v1 only reads plus cancellation and disabled push","Reproducible","routes/mobile.php line 7; native screens; MobilePatientController","Android/iOS scope is not fulfilled","Add versioned mutations/native flows with idempotency privacy and device tests"
"QA-017","Native app offers cancellation for server-ineligible appointment states","Mobile / Functional / UX","Medium","REQ-141","mobile/app/appointments.tsx; AppointmentPolicy","Patient","checked_in, in_progress or rescheduled appointment","1) Load appointment; 2) observe cancel button; 3) submit; 4) observe rejection","Only permitted actions are shown","Button appears for multiple ineligible states","Reproducible","Native status exclusion list vs server policy","Predictable failed action in sensitive workflow","Expose and render server-derived allowed actions"
"QA-018","Mobile public navigation toggle is non-functional","Mobile / Functional / Accessibility","High","REQ-002; REQ-134; REQ-135; REQ-139","Public header below 992 px; App.tsx; main.tsx","Public / Patient","Viewport below lg breakpoint","1) Load at 390 px; 2) confirm collapsed links; 3) activate toggle; 4) inspect visibility/state","Menu opens/closes and exposes links with accessible state","#nav remains hidden; class unchanged; aria-expanded absent; Bootstrap JS/state missing","Reproducible","IAB 390 px; App.tsx lines 33-35; main.tsx CSS-only import","Most public navigation is unreachable on phones","Implement controlled React disclosure and test all widths/keyboard/touch"
"QA-019","Form labeling, skip navigation and focus treatment are incomplete","Accessibility / UX","Medium","REQ-128 through REQ-131; REQ-133","Auth booking portal staff CMS and academic forms; app.css","All roles","Keyboard or assistive-technology user","1) Inspect sign-in names; 2) tab for skip link; 3) focus patient search; 4) inspect placeholder-only fields","Programmatic labels visible focus skip path and announced errors/status","Unnamed sign-in controls; many placeholder-only fields; no skip link; search outline removed; no live-region strategy","Reproducible","IAB sign-in DOM and source/CSS review","Control purpose focus and results may be unclear","Adopt associated labels/errors skip link focus-visible and announced status components"
"QA-020","Several small-text color combinations fail WCAG AA contrast","Accessibility / UI","Medium","REQ-132","Design tokens; booking progress; rose labels","All roles","Affected small normal text","1) Read colors; 2) calculate contrast; 3) compare 4.5:1; 4) inspect uses","Normal text meets 4.5:1","Rose/ivory is 4.17:1; rose/#fff8f4 4.21:1; inactive/white 2.81:1","Reproducible","WCAG luminance calculation from app.css","Low-vision users may struggle with progress/context labels","Use verified AA semantic text tokens and contrast regression checks"
"QA-021","Potential Security Finding: password reset does not revoke active browser sessions","Security / Privacy","Medium","REQ-028; REQ-123","ResetPasswordController; database sessions","Patient / Staff","Active browser session and completed reset","1) Inspect reset callback; 2) note credential change; 3) note tokens deleted; 4) note sessions retained","Reset terminates all other sessions/tokens","API tokens are deleted but no browser database-session invalidation is implemented","Unable to Reproduce","ResetPasswordController lines 22-25; database session driver; two-session exploit test not performed","Compromised browser session may survive reset","Invalidate other sessions and provide audited device/session revocation"
"QA-022","Upload pipeline is not protected by a production-grade malware scanner","Security / Privacy","High","REQ-121; REQ-122","FileScanner binding; BasicFileScanner; document upload","Patient / Staff","Authenticated allowed-type upload","1) Inspect binding; 2) inspect scanner; 3) note 8 KB/four signatures; 4) review release note","Approved monitored malware analysis gates uploads","Default is a simple signature boundary, not malware analysis","Reproducible","BasicFileScanner; AppServiceProvider; MASTER_PLAN line 257","Malicious content can pass simplistic checks into sensitive storage","Quarantine and fail closed through approved scanner before release"
"QA-023","Audit logging omits required actions and consistent before/after values","Security / Data","Medium","REQ-124; REQ-125","AuditLog writers across domains","All roles","Perform important mutations","1) Inventory writers; 2) compare required events; 3) inspect metadata; 4) compare role operations","Complete actor/action/resource/time and before/after coverage","Uploads/downloads messages consultation actions and role changes have gaps; metadata inconsistent","Reproducible","Static AuditLog::create inventory","Incident/privacy/accountability investigations have blind spots","Define event catalogue and safe metadata schema; assert each mutation log"
"QA-024","Multiple asynchronous UI failures have no user-visible recovery path","UX / Functional","Medium","REQ-133; REQ-150","Portal staff calendar and CMS actions","Patient / Moderator / Admin / Power Admin","API validation authorization or network error","1) Inspect mutation handlers; 2) force/reason about rejection; 3) find catches; 4) find recovery/focus","Every failure explains and supports recovery","Many awaited mutations lack catch/onError and render no failure state","Reproducible","PortalPage; StaffCalendarPage; CMS source","Users can lose context or believe sensitive action succeeded","Shared mutation/error pattern with field errors retry focus and announcements"
"QA-025","Public routes use one static metadata set and lack canonical/social discovery metadata","Content / Performance","Medium","REQ-016","app.blade.php; public routes","Public","Multiple public routes","1) Load routes; 2) inspect title/description; 3) inspect canonical/OG; 4) inspect sitemap","Per-route metadata and sitemap","One title/description; no canonical/OG/sitemap","Reproducible","IAB multi-route DOM; app.blade.php; robots.txt","Poor search/social representation and amplified soft-404 risk","Add route/CMS metadata canonical/OG and published-page sitemap"
"QA-026","Frontend loads global data and all route modules eagerly","Performance","Low","REQ-148; REQ-149","App.tsx root/imports","All roles","Load any route","1) Inspect imports/queries; 2) inspect public requests; 3) inspect auth/staff bundle; 4) build","Routes load necessary code/data only","Synchronous imports; global public query; public me probe; JS 405.45 KB/124.93 KB gzip","Reproducible","App.tsx and production build output","Avoidable download execution and requests on mobile networks","Lazy-load route groups and scope queries; enforce performance budget"
"QA-027","Privacy, Terms and Accessibility footer labels are not links","UI / Content","Low","REQ-014; REQ-015","Global footer","Public / Patient","Any public Layout page","1) Scroll footer; 2) activate Privacy; 3) activate Terms/Accessibility; 4) inspect DOM","Labels link to complete approved pages","Plain text only","Reproducible","App.tsx Footer and IAB","Expected health-product policy information is not reachable","Create approved pages and real accessible links"
"QA-028","Appointment booking omits the required document attachment step","Functional / Privacy","Medium","REQ-039","/book; BookingPage; public appointment API","Public / Patient","Complete booking steps","1) Select service/method; 2) choose slot; 3) reach details; 4) inspect file control/API","Allowed document attaches securely to request","No file control and API accepts no attachment","Reproducible","IAB /book; BookingPage; controller validation","Required referral/report needs separate manual exchange","Design quarantined/scanned pre-registration attachment with ownership/retention"
"QA-029","Patients have no reschedule request workflow","Functional / UX","Medium","REQ-048; REQ-141","Web portal; self appointment APIs; mobile app","Patient","Eligible upcoming appointment","1) Open web appointment; 2) seek reschedule; 3) repeat native; 4) inspect self routes","Patient requests a new time subject to approval/availability","Only cancellation exists; staff alone can directly reschedule","Reproducible","Web/mobile routes and appointment screens","Patients must leave platform for time changes","Add reschedule-request lifecycle with eligible slots staff decision audit and notifications"
